Name,Meta Data,,
Activity Id,A unique numeric code identifying the SEN.,,
Analysis Year,"This is the year that the estimate is for, E.g. 2011. Surveys may have continued into the following calendar year.  ",,
Description,"A concatenated name containing: stream name, species, run-type and year of estimate  ",,
Conservation Unit Name,The assigned name of the Conservation Unit. Note that this name does not identify the species.,,
Conservation Unit Index,"A code assigned to the CU that when prefixed by the species code becomes the CU_index. Originally, these codes were assigned in a roughly S to N geographic order. With each revision to the CUs that order has been lost.",,
Conservation Unit Type,"  There are currently six CU types, i.e.,Current, Bin, VREQ[Bin], VREQ[Current], VREQ[Extirpated] and Extirpated based upon Blair Holtby's Rev 4.0 Conservation Unit data refresh. Definitions for these CU Types are listed below:   CU_TYPE                        DEFINITION  Current                          CU is extant and is either accepted or has been proposed.   Bin                                 Not a CU but a category to hold sites that for some reason are not assigned to a CU. Reasonable uses of the bin category are: a) sites where migratory dropouts are counted that cannot be reliably assigned to CUs; b) sites where transplanted fish are enumerated under the pretense that DFO is recreating an extinct CU; and c) sites where transplanted fish are enumerated that are outside the ecotypical zone of the source fish and where no claim to recreating an extinct CU has been made.    VREQ[Bin]                     VREQ[] : Indicates that there is some doubt about the nature of the CU and valididation is required.   [Bin]-See definition for Bin. The most common use of the prefix is for sockeye CUs on the central and north coasts that were identified by presumed suitability rather than by actual verified records of persistent presence.  The second most common use is for CUs that likely were valid but  it is unknown if they persist. Again these are mostly sockeye CUs.   VREQ[Current]            VREQ[] : Indicates that there is some doubt about the nature of the CU and valididation is required. [Current]-See definition for Current. The most common use of the prefix is for sockeye CUs on the central and north coasts that were identified by presumed suitability rather than by actual verified records of persistent presence.  The second most common use is for CUs that likely were valid but  it is unknown if they persist. Again these are mostly sockeye CUs.   VREQ[Extirpated]       VREQ[] : Indicates that there is some doubt about the nature of the CU and valididation is required. [Extirpated]-See definition for Extirpated. The most common use of the prefix is for sockeye CUs on the central and north coasts that were identified by presumed suitability rather than by actual verified records of persistent presence.  The second most common use is for CUs that likely were valid but  it is unknown if they persist. Again these are mostly sockeye CUs.   Extirpated                  There are no known sites with fish spawning successfully in the wild and there are no known hatchery sites. ",,
Area,This is the subdistrict. In most cases subdistricts are the same as statistical areas. They mainly differ for streams that eventually drain into the Fraser and for large areas that have been split up and thus have a/b/c... designations. E.g. Statistical area 03 has two subdistricts 3A and 3B. ,,
Waterbody Name,This is the name of the waterbody or portion of a waterbody that bounds the population as shown on any given SEN,,
Species,"Salmon species for which the escapement estimate is for: eg: Chinook, Coho, Sockeye, Pink, Chum     ",,
Species_Qualified,"This is an Conservation Unit acronym used to describe the species of salmon for which the escapement estimate is for, eg:  CK - Chinook Salmon CM - Chum Salmon CO - Coho Salmon PKE - Even Year Pink Salmon PKO - Odd Year Pink Salmon SEL - Lake Type Sockeye Salmon SER - River or Ocean Type Sockeye Salmon  ",,
