"MAP_LABEL","GFE_ID","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","CMNTS","EFFECTIVE_DT","WATERSHED_CDE","FWA_WATERSHED_CDE"
1,442,"OKANAGAN RIVER","Stream","CK","49.0759771666537","-119.517786006958","OK","ORWA","OK+ORWA","OKANAGAN_1.x","OK","49.15180162","-119.4719531","Current","1","CK-1",5,48442,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"310-000000-00000-00000-0000-0000-000-000-000-000-000-000","300-432687-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
1,677,"CAMPBELL RIVER","Stream","CO","49.0126573932246","-122.777982038926","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.076162507","-122.701183906","VREQ[Current]","1","CO-1",2,590,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-000500-00000-00000-0000-0000-000-000-000-000-000-000","900-000584-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
2,680,"MURRAY CREEK","Stream","CO","49.1004869807318","-122.643827676713","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.076162507","-122.701183906","VREQ[Current]","1","CO-1",2,1794,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-004300-66600-00000-0000-0000-000-000-000-000-000-000","900-004391-663129-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
3,678,"NICOMEKL RIVER","Stream","CO","49.0582178477965","-122.869731350723","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.076162507","-122.701183906","VREQ[Current]","1","CO-1",2,1844,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-004300-00000-00000-0000-0000-000-000-000-000-000-000","900-004391-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
4,681,"SERPENTINE RIVER","Stream","CO","49.0832270421883","-122.850271033273","BB","GStr","BB+GStr","BOUNDARY BAY","BB","49.076162507","-122.701183906","VREQ[Current]","1","CO-1",2,2172,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-005500-00000-00000-0000-0000-000-000-000-000-000-000","900-005473-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
1,1169,"BOB CREEK","Stream","PKE","49.4990419030629","-124.796110831841","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","50.09353876","-124.1622532","Current","1","PKE-1",3,51264,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"",""
2,813,"BREM RIVER","Stream","PKE","50.4356218473265","-124.666342129184","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","50.09353876","-124.1622532","Current","1","PKE-1",3,50504,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-357900-00000-00000-0000-0000-000-000-000-000-000-000","900-358652-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
3,814,"BREM RIVER TRIBUTARY","Stream","PKE","50.4401522554002","-124.66707762464","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","50.09353876","-124.1622532","Current","1","PKE-1",3,50514,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-357900-01700-00000-0000-0000-000-000-000-000-000-000","900-358652-020005-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
4,784,"BRITTAIN RIVER","Stream","PKE","49.9974503796018","-124.009657096653","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","50.09353876","-124.1622532","Current","1","PKE-1",3,48918,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-244600-00000-00000-0000-0000-000-000-000-000-000-000","900-247763-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
5,1155,"BROOKLYN CREEK","Stream","PKE","49.6689513665228","-124.914275045026","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","50.09353876","-124.1622532","Current","1","PKE-1",3,53054,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-558600-00000-00000-0000-0000-000-000-000-000-000-000","920-565088-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
6,1141,"CAMPBELL RIVER","Stream","PKE","50.048718473218","-125.258471431605","EVI","GStr","EVI+GStr","GEORGIA STRAIT","GStr","50.09353876","-124.1622532","Current","1","PKE-1",3,52914,"Y","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"920-627900-00000-00000-0000-0000-000-000-000-000-000-000","920-627155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
7,697,"CAPILANO RIVER","Stream","PKE","49.3215612595233","-123.139728539572","SC","GStr","SC+GStr","GEORGIA STRAIT","GStr","50.09353876","-124.1622532","Current","1","PKE-1",3,49871,"N","Conservation Unit Data-Rev. 4.1f_20-Apr 2017 - ",2011-03-08,"900-071100-00000-00000-0000-0000-000-000-000-000-000-000","900-083503-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000"
