GFE_ID,WATERBODY,WATERSHED_CDE,SPECIES_QUALIFIED,StatArea.CU,CU_NAME,AREA,BroodYear,MAX_ESTIMATE,Stock_source,SpeciesId,CU_Name,Escape,TR2,TR3,TR4,TR5,TR6,TR7,Total,Total.ER,Age2,Age3,Age4,Age5,Age6,Age7,ER_source,Age_source,Returns,Recruits
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20833.333333333336
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1954,15000,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,389830,NA,NA,NA,NA,NA,NA,1203707,0.28,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,20833.333333333336,33333.333333333336
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1956,15000,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,541159,NA,NA,NA,NA,NA,NA,1505384,0.55,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,33333.333333333336,92105.26315789473
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1958,35000,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,574196,NA,NA,NA,NA,NA,NA,529807,0.62,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,92105.26315789473,18292.682926829268
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1960,7500,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,218554,NA,NA,NA,NA,NA,NA,1421689,0.59,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,18292.682926829268,7142.857142857143
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1962,3500,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,697069,NA,NA,NA,NA,NA,NA,1435127,0.51,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,7142.857142857143,8139.534883720929
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1964,3500,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,622955,NA,NA,NA,NA,NA,NA,4682506,0.57,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,8139.534883720929,124999.99999999999
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1966,35000,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,1331478,NA,NA,NA,NA,NA,NA,5111165,0.72,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,124999.99999999999,120689.65517241378
1119,ADAM RIVER,920-758000-00000-00000-0000-0000-000-000-000-000-000-000,PKE,PKE-4,SOUTHERN FJORDS,12,1968,35000,Data/NuSEDS/NuSEDS_20220309.csv,PKE,Southern Fjords,1489447,NA,NA,NA,NA,NA,NA,3529217,0.71,NA,NA,NA,NA,NA,NA,Data/From PSF/SCVI_age_2019-04-13.csv,Data/From PSF/SCVI_age_2019-04-13.csv,120689.65517241378,45454.54545454546
