"variable_group","max_rhat","min_ess_tail","median_estimate","n"
"$S_{max}$",1,2057,2570.77,374
"$\alpha_0$",1,2766,1.23,1
"$\alpha_{cu}$",1,2398,1.22,24
"$\alpha_{i}$",1,2048,1.21,374
"$\beta^{forestry}_0$",1,2507,-0.15,1
"$\beta^{forestry}_{CU}$",1,2346,-0.14,24
"$\beta^{forestry}_{i}$",1,2207,-0.14,374
"$\beta^{NPGO}_{0}$",1,2920,0.06,1
"$\beta^{NPGO}_{CO}$",1,2393,0.07,24
"$\beta^{NPGO}_{i}$",1,2397,0.07,374
"$\beta^{SST}_{0}$",1,2876,-0.02,1
"$\beta^{SST}_{CU}$",1,2361,-0.03,24
"$\beta^{SST}_{i}$",1,2314,-0.03,374
"$\sigma_{CU}$",1,2581,1.2,24
"$\epsilon_{i,t}$",1.01,1801,0.01,12709
"$\sigma^{\mu}$",1,2655,1.2,1
"$\rho_{i}$",1,2212,0.43,374
"$\sigma^{\sigma}$",1,2605,0.18,1
"$\sigma^{\sigma}_{CU}$",1,2266,0.11,1
"$\sigma^{AR}_{i}$",1,2357,1.04,374
"$\sigma_i$",1,2316,1.2,374
"$\sigma^{\alpha,CU}$",1,1790,0.15,1
"$\sigma^{\alpha,i}_{CU}$",1,1664,0.22,24
"$\sigma^{Forestry,CU}$",1,2176,0.09,1
"$\sigma^{Forestry,i}$",1,2337,0.06,1
"$\sigma^{NPGO,CU}$",1,2801,0.08,1
"$\sigma^{NPGO,i}$",1,2616,0.02,1
"$\sigma^{SST,CU}$",1,2796,0.11,1
"$\sigma^{SST,i}$",1,2760,0.03,1
"$z^{\alpha}_{CU}$",1,2411,-0.05,24
"$z^{\alpha}_{i}$",1,2194,0,374
"$z^{Forestry}_{CU}$",1,2426,-0.04,24
"$z^{Forestry}_{i}$",1,2282,0,374
"$z^{NPGO}_{CU}$",1,2417,0.07,24
"$z^{NPGO}_{i}$",1,2295,0,374
"$z^{\sigma}_{CU}$",1,2538,0.02,24
"$z^{\sigma}_{i}$",1,2174,-0.02,374
"$z^{SST}_{CU}$",1,2647,-0.03,24
"$z^{SST}_{i}$",1,2212,0,374
