"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-170228832400,-27433500000,402577224974.951,12961482240,-577075200000,-18474460000,2.12382546507331,1.85571401975971,10.3080260303688
"2","alpha0[1]",2.5512652,2.55127,1.19443152448575e-05,1.48260000000971e-05,2.55125,2.55128,2.185390556853,1.89603782713232,NA
"3","alpha0[2]",1.8621252,1.86213,5.09901951362619e-06,0,1.86212,1.86213,1.54380482358792,2.47917168312064,NA
"4","z_a_cu[1]",-1.9852832,-1.98528,4.76095228572642e-06,0,-1.98529,-1.98528,1.6583123951777,2.2521327014218,NA
"5","z_a_cu[2]",1.35056,1.35056,0,0,1.35056,1.35056,NA,NA,NA
"6","z_a_cu[3]",0.8827188,0.88272,1.55456317551011e-06,1.48259999987803e-06,0.8827162,0.88272,1.47095856852264,2.70393738314969,NA
"7","z_a_cu[4]",1.6196152,1.61962,5.09901951362619e-06,0,1.61961,1.61962,1.36833490985647,3.05742319446678,NA
"8","z_a_cu[5]",-0.98050744,-0.980508,3.16333157709342e-06,2.96519999992066e-06,-0.98051,-0.9805042,2.0473234599738,1.94092812158468,2.40242669362993
"9","z_a_cu[6]",-1.5425632,-1.54256,4.76095228572642e-06,0,-1.54257,-1.54256,1.6583123951777,2.2521327014218,NA
"10","z_a_cu[7]",0.13285096,0.132851,1.88148877222456e-06,1.48260000000148e-06,0.1328482,0.132853,1.63059609074155,2.29307740457797,10.3080260303688
"11","z_a_cu[8]",-0.05825554,-0.0582551,2.24480882630697e-06,2.81694000000899e-06,-0.05825898,-0.05825216,1.69346735454776,3.4258644646023,13.1816920943135
"12","z_a_cu[9]",1.6167944,1.61679,5.06622805122341e-06,0,1.61679,1.6168,0.957427107756338,14.5779647646595,NA
"13","z_a_cu[10]",-0.77934012,-0.77934,3.14006369365318e-06,4.4478000001279e-06,-0.779344,-0.779337,2.44377408599917,1.81115773460377,NA
"14","z_a_cu[11]",-0.69661848,-0.696619,1.7823205846993e-06,1.48260000004263e-06,-0.69662,-0.6966162,2.06613748190744,1.97226459304625,2.05847953216374
"15","z_a_cu[12]",1.7547804,1.75478,2.0000000000131e-06,0,1.75478,1.75478,1,24.3380281690141,24.3380281690141
"16","z_a_cu[13]",0.49495984,0.494961,3.02324329156848e-06,2.96520000000297e-06,0.494956,0.4949638,1.87477719570571,2.04226768052797,3.39549839228296
"17","z_a_cu[14]",-0.21234584,-0.212345,2.23009715782593e-06,2.96520000000297e-06,-0.212349,-0.212343,1.75514299479729,4.13451318586004,NA
"18","z_a_cu[15]",-1.9803216,-1.98032,3.74165738671537e-06,0,-1.98033,-1.98032,1.17260393995586,4.74014962593516,NA
"19","z_a_cu[16]",0.50053,0.500527,4.76969600706671e-06,1.48260000004263e-06,0.500526,0.500537,2.13251106991196,1.86099104396126,2.2521327014218
"20","z_a_cu[17]",1.2102932,1.21029,4.76095228562071e-06,0,1.21029,1.2103,1.6583123951777,2.27886344563002,NA
"21","z_a_cu[18]",-1.9266236,-1.92662,4.89897948559845e-06,0,-1.92663,-1.92662,1.15470053837925,6.65127020785219,NA
"22","z_a_cu[19]",-0.5868292,-0.586827,3.69684550214342e-06,1.48260000004263e-06,-0.586832,-0.586826,2.04470948754678,1.94585252611409,2.57491194798158
"23","z_a_cu[20]",-0.608308,-0.608308,2.17944947177358e-06,2.96519999992066e-06,-0.608311,-0.608306,1.48898970580698,2.75533230158302,5.3908111174135
"24","z_a_cu[21]",1.2979148,1.29791,5.09901951362619e-06,0,1.29791,1.29792,0.964145976908441,6.96008787989747,NA
"25","z_a_cu[22]",-0.67353852,-0.673539,1.00498756212479e-06,1.48260000004263e-06,-0.67354,-0.673538,1.09907618811636,9.6083713455516,24.3380281690141
"26","z_a_j[1]",0.015297664,0.0152978,7.23924489616618e-07,1.03781999999898e-06,0.0152968,0.01529876,1.05353791064497,10.5093999278385,17.4065934065934
"27","z_a_j[2]",-1.2029036,-1.2029,4.89897948548967e-06,0,-1.20291,-1.2029,1.6583123951777,2.40242669362993,NA
"28","z_a_j[3]",-0.83309836,-0.833098,1.46855938479041e-06,0,-0.8331008,-0.8330962,1.06794578855996,6.80993286593065,10.3080260303688
"29","z_a_j[4]",-1.00631,-1.00631,0,0,-1.00631,-1.00631,NA,NA,NA
"30","z_a_j[5]",0.03299794,0.0329967,2.08806130178179e-06,1.4825999999912e-06,0.03299572,0.03300118,1.97440016189813,2.00761173716176,13.2737430167598
"31","z_a_j[6]",0.4906246,0.490624,1.75594229214599e-06,0,0.490623,0.490628,1.06222494380263,11.3632781846988,NA
"32","z_a_j[7]",0.55558792,0.555587,3.1743765791885e-06,2.96520000008527e-06,0.5555834,0.555592,1.75697683461054,2.16355725130063,NA
"33","z_a_j[8]",-1.397818,-1.39782,4.08248290466537e-06,0,-1.39782,-1.39781,1.05286615093418,9.42533470648815,NA
"34","z_a_j[9]",-1.91704,-1.91704,0,0,-1.91704,-1.91704,NA,NA,NA
"35","z_a_j[10]",-0.95306984,-0.953069,1.72433562084734e-06,1.48260000004263e-06,-0.953072,-0.953068,2.06488233983366,1.9733248044286,2.2521327014218
"36","z_a_j[11]",0.10362144,0.103622,1.89472953214811e-06,2.96519999998239e-06,0.103619,0.103624,1.62282573996549,2.41914605228032,3.31727748691099
