"CU","diff_cda_sst","diff_cda_npgo","diff_eca_sst","diff_eca_npgo"
"Douglas-Gardner","-0.08 (-0.26, 0.13)","-0.04 (-0.19, 0.16)","-0.15 (-0.31, 0.04)","-0.1 (-0.22, 0.06)"
"Upper Knight","0.06 (-0.2, 0.35)","0.03 (-0.19, 0.32)","0.08 (-0.18, 0.52)","0.05 (-0.2, 0.49)"
"Southern Coastal Streams","0.11 (-0.13, 0.43)","0.16 (-0.01, 0.47)","0.03 (-0.2, 0.32)","0.09 (-0.08, 0.35)"
"North Haida Gwaii","0.11 (-0.09, 0.42)","0.12 (-0.07, 0.42)","0.12 (-0.1, 0.45)","0.13 (-0.08, 0.45)"
"Smith Inlet","0.08 (-0.12, 0.35)","0.07 (-0.1, 0.34)","0.03 (-0.15, 0.3)","0.03 (-0.12, 0.3)"
"Southwest Vancouver Island","0.11 (0.01, 0.22)","0 (-0.1, 0.1)","0.07 (-0.02, 0.16)","-0.05 (-0.14, 0.05)"
"Northeast Vancouver Island","0.12 (-0.09, 0.47)","0.13 (-0.05, 0.48)","0.19 (-0.09, 0.67)","0.21 (-0.04, 0.69)"
"Lower Skeena","0.03 (-0.19, 0.26)","0.06 (-0.12, 0.28)","0.01 (-0.22, 0.26)","0.04 (-0.13, 0.27)"
"Georgia Strait","-0.02 (-0.13, 0.09)","0 (-0.1, 0.1)","-0.02 (-0.13, 0.13)","-0.01 (-0.1, 0.12)"
"East Haida Gwaii","0.04 (-0.07, 0.14)","0.04 (-0.06, 0.14)","0 (-0.08, 0.1)","0 (-0.07, 0.1)"
"Loughborough","0.09 (-0.1, 0.29)","0.08 (-0.1, 0.28)","0.06 (-0.11, 0.32)","0.06 (-0.11, 0.3)"
"Hecate Lowlands","0.1 (-0.06, 0.3)","0.12 (-0.02, 0.31)","0.06 (-0.1, 0.29)","0.09 (-0.06, 0.3)"
"Northwest Vancouver Island","0.01 (-0.21, 0.21)","0.05 (-0.1, 0.22)","0 (-0.21, 0.21)","0.02 (-0.12, 0.23)"
"Mussel-Kynoch","0.06 (-0.13, 0.32)","0.05 (-0.11, 0.31)","0.04 (-0.14, 0.31)","0.05 (-0.12, 0.32)"
"West Haida Gwaii","0.12 (-0.03, 0.3)","0.11 (-0.02, 0.27)","0.11 (-0.05, 0.26)","0.1 (-0.03, 0.24)"
"Skidegate","0.08 (-0.09, 0.26)","0.11 (-0.03, 0.28)","-0.01 (-0.14, 0.14)","0.03 (-0.08, 0.16)"
"Bella Coola-Dean Rivers","0.05 (-0.11, 0.24)","0.04 (-0.11, 0.23)","0.03 (-0.12, 0.25)","0.02 (-0.12, 0.25)"
"Spiller-Fitz Hugh-Burke","0.07 (-0.08, 0.24)","0.08 (-0.05, 0.25)","0.04 (-0.08, 0.22)","0.06 (-0.05, 0.24)"
"Rivers Inlet","0.1 (-0.1, 0.41)","0.07 (-0.13, 0.39)","0.09 (-0.12, 0.44)","0.07 (-0.15, 0.44)"
"Portland Inlet","0.11 (-0.08, 0.44)","0.12 (-0.04, 0.46)","0.1 (-0.11, 0.43)","0.12 (-0.07, 0.44)"
"Bute Inlet","0.07 (-0.13, 0.32)","0.05 (-0.15, 0.31)","0.04 (-0.15, 0.36)","0.02 (-0.17, 0.36)"
"Portland Canal-Observatory","0.09 (-0.11, 0.39)","0.08 (-0.1, 0.38)","0.04 (-0.14, 0.31)","0.03 (-0.13, 0.31)"
"Middle Skeena","0.06 (-0.21, 0.35)","0.06 (-0.15, 0.36)","0.03 (-0.25, 0.39)","0.04 (-0.18, 0.39)"
"Wannock","0.06 (-0.18, 0.33)","0.07 (-0.12, 0.35)","0.03 (-0.19, 0.37)","0.04 (-0.15, 0.38)"
