"","variable_group","mean_rhat","median_rhat","min_rhat","max_rhat","mean_ess","median_ess","min_ess","max_ess"
"1","Smax[]",1,1,1,1.01,2831,2843,2251,3299
"2","alpha[]",1,1,1,1,2144,2144,2009,2278
"3","alpha_cu[]",1,1,1,1,2490,2496,2140,2835
"4","alpha_j[]",1,1,1,1,2858,2853,2417,3337
"5","b[]",1,1,1,1,2831,2843,2251,3299
"6","b_for",1,1,1,1,2812,2812,2812,2812
"7","b_for_cu[]",1,1,1,1,2914,2931,2737,3145
"8","b_for_rv[]",1,1,1,1,2879,2887,2088,3303
"9","b_npgo",1,1,1,1,2471,2471,2471,2471
"10","b_npgo_cu[]",1,1,1,1,2845,2853,2386,3272
"11","b_npgo_rv[]",1,1,1,1,2956,2970,2366,3335
"12","b_sst",1,1,1,1,2433,2433,2433,2433
"13","b_sst_cu[]",1,1,1,1,2918,2919,2706,3091
"14","b_sst_rv[]",1,1,1,1,2899,2910,2316,3236
"15","cu_sigma[]",1,1,1,1,2803,2785,2265,3202
"16","e_t[]",1,1,1,1,2862,2872,2118,3330
"17","log_lik[]",1,1,1,1.01,2872,2884,2002,3411
"18","lp__",1,1,1,1,2230,2230,2230,2230
"19","mu[]",NA,NA,NA,NA,NA,NA,NA,NA
"20","mu_sigma",1,1,1,1,2659,2659,2659,2659
"21","sd_sigma",1,1,1,1,2640,2640,2640,2640
"22","sd_sigma_cu",1,1,1,1,2200,2200,2200,2200
"23","sigma[]",1,1,1,1.01,2896,2905,2049,3340
"24","sigma_a_cu",1,1,1,1,2373,2373,2373,2373
"25","sigma_a_j",1,1,1,1,2587,2587,2587,2587
"26","sigma_for_cu",1,1,1,1,2519,2519,2519,2519
"27","sigma_for_rv",1,1,1,1,1537,1537,1537,1537
"28","sigma_npgo_cu",1,1,1,1,2280,2280,2280,2280
"29","sigma_npgo_rv",1,1,1,1,2584,2584,2584,2584
"30","sigma_sst_cu",1,1,1,1,2289,2289,2289,2289
"31","sigma_sst_rv",1,1,1,1,1861,1861,1861,1861
"32","z_a_cu[]",1,1,1,1,2504,2549,2150,2861
"33","z_a_j[]",1,1,1,1,2917,2926,2396,3269
"34","z_for_cu[]",1,1,1,1,2910,2902,2596,3220
"35","z_for_rv[]",1,1,1,1,2866,2882,2257,3198
"36","z_npgo_cu[]",1,1,1,1,2758,2731,2272,3095
"37","z_npgo_rv[]",1,1,1,1,2908,2918,2391,3243
"38","z_sig_cu[]",1,1,1,1,2868,2860,2577,3238
"39","z_sig_j[]",1,1,1,1,2894,2910,2063,3384
"40","z_sst_cu[]",1,1,1,1,2834,2881,2349,3167
"41","z_sst_rv[]",1,1,1,1,2896,2900,2411,3243
